date,actual_inflation,tbond,tbill,sp500
1994-12-31,0.02674897119341546,-0.08036655550998603,0.04252248995983936,0.004514075186894173
1995-12-31,0.025384101536406245,0.23480780112538907,0.054896,0.379638173070586
1996-12-31,0.03322475570032579,0.01428607793401844,0.05005396825396826,0.2327969149161202
1997-12-31,0.017023959646910614,0.09939130272977531,0.0506208,0.31528086108308107
1998-12-31,0.016119032858028515,0.14921431922606215,0.047759600000000006,0.2531328906761432
1999-12-31,0.02684563758389258,-0.08254214796268576,0.04638406374501992,0.21439995518395594
2000-12-31,0.03386809269162194,0.16655267125397488,0.05819800796812749,-0.05683218075426266
2001-12-31,0.01551724137931032,0.055721811892492555,0.03399354838709678,-0.12785859010867084
2002-12-31,0.02376910016977929,0.15116400378109285,0.0160532,-0.2007699160647376
2003-12-31,0.018794914317302513,0.003753185881775853,0.0100836,0.22013668008630116
2004-12-31,0.03255561584373301,0.04490683702274547,0.0137464,0.12696565615437772
2005-12-31,0.03415659485023648,0.028675329597779506,0.0314916,0.06991338742449882
2006-12-31,0.025406504065040636,0.019610012417568386,0.0473,0.14098135074388396
2007-12-31,0.04081268582755193,0.10209921930012807,0.04361952191235059,0.06294390082037804
2008-12-31,0.0009141290064560437,0.20101279926977011,0.013713147410358567,-0.3874694095536837
2009-12-31,0.027213311262058282,-0.11116695313259173,0.0015052,0.29412044000790094
2010-12-31,0.014957235273143077,0.0846293388035575,0.001384462151394422,0.13813139045491907
2011-12-31,0.029624188448710953,0.16035334999461331,0.0005283999999999999,0.02120501853895318
2012-12-31,0.01741022368747558,0.02971571978018946,0.0008759999999999999,0.1670493785456144
2013-12-31,0.01501735619618394,-0.09104568794347273,0.0005708,0.29450451970648284
2014-12-31,0.007564932696557447,0.10746180452004733,0.0003272,0.1571010668702313
2015-12-31,0.007295197860415881,0.012842996709792224,0.0005203187250996015,0.020247257338778857
2016-12-31,0.02074622132966919,0.006905504698747792,0.0031612000000000003,0.11544097600872405
2017-12-31,0.021090824745684245,0.028017162707789457,0.0093412,0.20702823043106044
2018-12-31,0.019101588486313714,-0.00016692385713402633,0.01936305220883534,-0.017138077973031574
2019-12-31,0.022851297401217163,0.09635630741548393,0.0206248,0.25929267436667236
2020-12-31,0.013620054947193205,0.11331897646614142,0.003547410358565737,0.18183825860792324
2021-12-31,0.07036402865545144,-0.04416034448604475,0.000450199203187251,0.2809165433981884
2022-12-31,0.0645440133141082,-0.17828171538250648,0.02024779116465863,-0.14939299069242962
